date,csp
2014-02-01,139739.2
2014-03-01,140252.2
2014-04-01,142351.2
2014-05-01,143198.0
2014-06-01,144831.4
2014-07-01,146311.2
2014-08-01,146780.4
2014-09-01,147523.1
2014-10-01,148721.2
2014-11-01,150233.3
2014-12-01,152455.0
2015-01-01,153469.1
2015-02-01,155622.5
2015-03-01,156583.6
2015-04-01,158552.9
2015-05-01,160673.6
2015-06-01,161431.2
2015-07-01,162892.3
2015-08-01,164853.6
2015-09-01,166372.4
2015-10-01,168422.4
2015-11-01,170328.5
2015-12-01,172036.2
2016-01-01,172721.9
2016-02-01,172745.6
2016-03-01,172957.4
2016-04-01,173206.2
2016-05-01,173728.0
2016-06-01,173508.5
2016-07-01,174102.5
2016-08-01,174671.7
2016-09-01,175190.4
2016-10-01,175702.1
2016-11-01,178642.0
2016-12-01,182198.7
2017-01-01,181450.7
2017-02-01,181452.0
2017-03-01,181937.7
2017-04-01,182976.5
2017-05-01,183112.1
2017-06-01,183897.9
2017-07-01,183390.7
2017-08-01,183597.2
2017-09-01,184261.4
2017-10-01,185179.9
2017-11-01,187399.9
2017-12-01,189043.0
2018-01-01,188475.8
2018-02-01,188561.2
2018-03-01,189878.8
2018-04-01,190087.1
2018-05-01,191391.9
2018-06-01,191899.7
2018-07-01,191616.4
2018-08-01,192403.3
2018-09-01,195243.7
2018-10-01,197208.8
2018-11-01,199254.2
2018-12-01,202220.6
2019-01-01,201438.3
2019-02-01,202211.1
2019-03-01,203100.8
2019-04-01,204310.3
2019-05-01,205200.8
2019-06-01,205807.6
2019-07-01,204940.1
2019-08-01,205268.8
2019-09-01,207101.8
2019-10-01,208927.7
2019-11-01,210793.9
2019-12-01,212828.7
2020-01-01,213041.9
2020-02-01,214234.7
2020-03-01,219460.9
2020-04-01,220966.6
2020-05-01,221066.7
2020-06-01,221903.4
2020-07-01,219777.5
2020-08-01,219224.2
2020-09-01,218967.4
2020-10-01,222718.0
2020-11-01,224088.0
2020-12-01,225715.1
2021-01-01,225839.4
2021-02-01,227742.9
2021-03-01,229124.8
2021-04-01,230800.4
2021-05-01,232867.5
2021-06-01,234727.4
2021-07-01,238089.3
2021-08-01,239528.4
2021-09-01,240513.0
2021-10-01,244291.2
2021-11-01,250295.8
2021-12-01,254438.8
2022-01-01,255296.0
2022-02-01,258068.1
2022-03-01,NaN
2022-04-01,NaN
2022-05-01,NaN
2022-06-01,NaN
2022-07-01,NaN
2022-08-01,NaN
2022-09-01,NaN
2022-10-01,NaN
2022-11-01,NaN
2022-12-01,NaN
